;0;1;2;3
43;CTSA3;CIA TECIDOS SANTANENSE;CIA TECIDOS SANTANENSE;21.255.567/0001-89
44;CTSA8;CIA TECIDOS SANTANENSE;CIA TECIDOS SANTANENSE;21.255.567/0001-89
45;DASA3;DIAGNOSTICOS DA AMERICA SA;DIAGNOSTICOS DA AMERICA SA;61.486.650/0001-83
46;DIRR3;DIRECIONAL ENGENHARIA SA;DIRECIONAL ENGENHARIA SA;16.614.075/0001-00
47;DOHL3;DOHLER SA;DOHLER SA;84.683.408/0001-03
48;DXXI3;DUXXI IMOBILIARIA SA;DUXXI IMOBILIARIA SA;10.382.341/0001-22
49;EALT4;ELECTRO ACO ALTONA SA;ELECTRO ACO ALTONA SA;82.643.537/0001-34
50;ECOR3;ECORODOVIAS INFRAESTRUTURA E LOGISTICA SA;ECORODOVIAS INFRAESTRUTURA E LOGISTICA SA;04.149.454/0001-80
51;EGIE3;ENGIE BRASIL ENERGIA SA;ENGIE BRASIL ENERGIA SA;02.474.103/0001-19
52;EKTR4;ELEKTRO REDES SA;ELEKTRO REDES SA;02.328.280/0001-97
53;EMBR3;EMBRAER SA;EMBRAER SA;07.689.002/0001-89
54;ENAT3;ENAUTA PARTICIPACOES SA;ENAUTA PARTICIPACOES SA;11.669.021/0001-10
55;ENEV3;ENEVA SA;ENEVA SA;04.423.567/0001-21
56;ENGI4;ENERGISA SA;ENERGISA SA;00.864.214/0001-06
57;EPCO3;ENCALSO PARTICIPACOES EM CONCESSOES SA;ENCALSO PARTICIPACOES EM CONCESSOES SA;21.262.638/0001-70
58;EQPA3;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA SA;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA SA;04.895.728/0001-80
59;EQPA6;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA SA;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA SA;04.895.728/0001-80
60;EQTL3;EQUATORIAL ENERGIA SA;EQUATORIAL ENERGIA SA;03.220.438/0001-73
61;ESTR3;MANUFATURA DE BRINQUEDOS ESTRELA SA;MANUFATURA DE BRINQUEDOS ESTRELA SA;61.082.004/0001-50
62;EVEN3;EVEN CONSTRUTORA E INCORPORADORA SA;EVEN CONSTRUTORA E INCORPORADORA SA;43.470.988/0001-65
63;FIGE3;INVESTIMENTOS BEMGE SA;INVESTIMENTOS BEMGE SA;01.548.981/0001-79
64;FRIO3;METALFRIO SOLUTIONS SA;METALFRIO SOLUTIONS SA;04.821.041/0001-08
65;FTRO3;FRUTOS TROPICAIS SA;FRUTOS TROPICAIS SA;13.504.691/0001-02
66;GEPA4;RIO PARANAPANEMA ENERGIA SA;RIO PARANAPANEMA ENERGIA SA;02.998.301/0001-81
67;GGBR3;GERDAU SA;GERDAU SA;33.611.500/0001-19
68;GNDI3;NOTRE DAME INTERMEDICA PARTICIPACOES SA;NOTRE DAME INTERMEDICA PARTICIPACOES SA;19.853.511/0001-84
69;GOAU4;METALURGICA GERDAU SA;METALURGICA GERDAU SA;92.690.783/0001-09
70;GPCP3;GPC PARTICIPACOES SA;GPC PARTICIPACOES SA;02.193.750/0001-52
71;GRND3;GRENDENE SA;GRENDENE SA;89.850.341/0001-60
72;GUAR3;GUARARAPES CONFECCOES SA;GUARARAPES CONFECCOES SA;08.402.943/0001-52
73;HAGA4;HAGA SA INDUSTRIA E COMERCIO;HAGA SA INDUSTRIA E COMERCIO;30.540.991/0001-66
74;HBOR3;HELBOR EMPREENDIMENTOS SA;HELBOR EMPREENDIMENTOS SA;49.263.189/0001-02
75;HETA3;HERCULES SA FABRICA DE TALHERES;HERCULES SA FABRICA DE TALHERES;92.749.225/0001-63
76;HOOT3;HOTEIS OTHON SA;HOTEIS OTHON SA;33.200.049/0001-47
77;HYPE3;HYPERA SA;HYPERA SA;02.932.074/0001-91
78;INNT3;INTER CONSTRUTORA E INCORPORADORA SA;INTER CONSTRUTORA E INCORPORADORA SA;09.611.768/0001-76
79;ITSA3;ITAUSA INVESTIMENTOS ITAU SA;ITAUSA INVESTIMENTOS ITAU SA;61.532.644/0001-15
80;JBSS3;JBS SA;JBS SA;02.916.265/0001-60
81;JFEN3;JOAO FORTES ENGENHARIA SA;JOAO FORTES ENGENHARIA SA;33.035.536/0001-00
82;JPSA3;JEREISSATI PARTICIPACOES SA;JEREISSATI PARTICIPACOES SA;60.543.816/0001-93
83;KEPL3;KEPLER WEBER SA;KEPLER WEBER SA;91.983.056/0001-69
84;KLBN4;KLABIN SA;KLABIN SA;89.637.490/0001-45
85;LIGT3;LIGHT SA;LIGHT SA;03.378.521/0001-75
86;LLIS3;RESTOQUE COMERCIO E CONFECCOES DE ROUPAS SA;RESTOQUE COMERCIO E CONFECCOES DE ROUPAS SA;49.669.856/0001-43
87;LREN3;LOJAS RENNER SA;LOJAS RENNER SA;92.754.738/0001-62
88;LUXM3;TREVISA INVESTIMENTOS SA;TREVISA INVESTIMENTOS SA;92.660.570/0001-26
89;LWSA3;LOCAWEB SERVICOS DE INTERNET SA;LOCAWEB SERVICOS DE INTERNET SA;02.351.877/0001-52
90;MAPT4;CEMEPE INVESTIMENTOS SA;CEMEPE INVESTIMENTOS SA;93.828.986/0001-73
91;MDNE3;MOURA DUBEUX ENGENHARIA SA;MOURA DUBEUX ENGENHARIA SA;12.049.631/0001-84
92;MEAL3;INTERNATIONAL MEAL COMPANY ALIMENTACAO SA;INTERNATIONAL MEAL COMPANY ALIMENTACAO SA;17.314.329/0001-20
93;MGLU3;MAGAZINE LUIZA SA;MAGAZINE LUIZA SA;47.960.950/0001-21
94;MMAQ3;MINASMAQUINAS SA;MINASMAQUINAS SA;17.161.241/0001-15
95;MNBI3;MLOG SA;MLOG SA;13.444.994/0001-87
96;MNPR3;MINUPAR PARTICIPACOES SA;MINUPAR PARTICIPACOES SA;90.076.886/0001-40
97;MOVI3;MOVIDA PARTICIPACOES SA;MOVIDA PARTICIPACOES SA;21.314.559/0001-66
98;MRVE3;MRV ENGENHARIA E PARTICIPACOES SA;MRV ENGENHARIA E PARTICIPACOES SA;08.343.492/0001-20
99;MSRO3;MAESTRO LOCADORA DE VEICULOS SA;MAESTRO LOCADORA DE VEICULOS SA;08.795.211/0001-70
100;MTRE3;MITRE REALTY EMPREENDIMENTOS E PARTICIPACOES SA;MITRE REALTY EMPREENDIMENTOS E PARTICIPACOES SA;07.882.930/0001-65
101;MTSA4;METISA METALURGICA TIMBOENSE SA;METISA METALURGICA TIMBOENSE SA;86.375.425/0001-09
102;NEMO3;SUZANO HOLDING SA;SUZANO HOLDING SA;60.651.809/0001-05
103;NEMO6;SUZANO HOLDING SA;SUZANO HOLDING SA;60.651.809/0001-05
104;NRTQ3;NORTEC QUIMICA SA;NORTEC QUIMICA SA;29.950.060/0001-57
105;NUTR3;NUTRIPLANT INDUSTRIA E COMERCIO SA;NUTRIPLANT INDUSTRIA E COMERCIO SA;51.128.999/0001-90
106;ODER3;CONSERVAS ODERICH SA;CONSERVAS ODERICH SA;97.191.902/0001-94
107;ODPV3;ODONTOPREV SA;ODONTOPREV SA;58.119.199/0001-51
108;PARD3;INSTITUTO HERMES PARDINI SA;INSTITUTO HERMES PARDINI SA;19.378.769/0001-76
109;PATI4;PANATLANTICA SA;PANATLANTICA SA;92.693.019/0001-89
110;PETR3;PETROLEO BRASILEIRO SA PETROBRAS;PETROLEO BRASILEIRO SA PETROBRAS;33.000.167/0001-01
111;PLAS3;PLASCAR PARTICIPACOES INDUSTRIAIS SA;PLASCAR PARTICIPACOES INDUSTRIAIS SA;51.928.174/0001-50
112;PMAM3;PARANAPANEMA SA;PARANAPANEMA SA;60.398.369/0004-79
113;PNVL4;DIMED SA DISTRIBUIDORA DE MEDICAMENTOS;DIMED SA DISTRIBUIDORA DE MEDICAMENTOS;92.665.611/0001-77
114;POMO4;MARCOPOLO SA;MARCOPOLO SA;88.611.835/0001-29
115;PPAR3;POLPAR SA;POLPAR SA;59.789.545/0001-71
116;PRNR3;PRINER SERVICOS INDUSTRIAIS SA;PRINER SERVICOS INDUSTRIAIS SA;18.593.815/0001-97
117;PSEG4;SAUIPE SA;SAUIPE SA;00.866.577/0001-80
118;PTBL3;PBG SA;PBG SA;83.475.913/0001-91
119;PTCA3;PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA;PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA;08.574.411/0001-00
120;RADL3;RAIA DROGASIL SA;RAIA DROGASIL SA;61.585.865/0001-51
121;RANI3;IRANI PAPEL E EMBALAGEM SA;IRANI PAPEL E EMBALAGEM SA;92.791.243/0001-03
122;RAPT3;RANDON SA IMPLEMENTOS E PARTICIPACOES;RANDON SA IMPLEMENTOS E PARTICIPACOES;89.086.144/0001-16
123;RCSL3;RECRUSUL SA;RECRUSUL SA;91.333.666/0001-17
124;RDNI3;RNI NEGOCIOS IMOBILIARIOS SA;RNI NEGOCIOS IMOBILIARIOS SA;67.010.660/0001-24
125;RLOG3;COSAN LOGISTICA SA;COSAN LOGISTICA SA;17.346.997/0001-39
126;RNEW4;RENOVA ENERGIA SA;RENOVA ENERGIA SA;08.534.605/0001-74
127;ROMI3;INDUSTRIAS ROMI SA;INDUSTRIAS ROMI SA;56.720.428/0001-63
128;RSUL3;METALURGICA RIOSULENSE SA;METALURGICA RIOSULENSE SA;85.778.074/0001-06
129;SEER3;SER EDUCACIONAL SA;SER EDUCACIONAL SA;04.986.320/0001-13
130;SHUL3;SCHULZ SA;SCHULZ SA;84.693.183/0001-68
131;SLCE3;SLC AGRICOLA SA;SLC AGRICOLA SA;89.096.457/0001-55
132;SMFT3;SMARTFIT ESCOLA DE GINASTICA E DANCA SA;SMARTFIT ESCOLA DE GINASTICA E DANCA SA;07.594.978/0001-78
133;SMTO3;SAO MARTINHO SA;SAO MARTINHO SA;51.466.860/0001-56
134;SPRI3;SPRINGER SA;SPRINGER SA;92.929.520/0001-00
135;SPRI6;SPRINGER SA;SPRINGER SA;92.929.520/0001-00
136;STBP3;SANTOS BRASIL PARTICIPACOES SA;SANTOS BRASIL PARTICIPACOES SA;02.762.121/0001-04
137;SULA3;SUL AMERICA SA;SUL AMERICA SA;29.978.814/0001-87
138;SUZB3;SUZANO SA;SUZANO SA;16.404.287/0001-55
139;TASA3;TAURUS ARMAS SA;TAURUS ARMAS SA;92.781.335/0001-02
140;TCSA3;TECNISA SA;TECNISA SA;08.065.557/0001-12
141;TELB3;TELEC BRASILEIRAS SA TELEBRAS;TELEC BRASILEIRAS SA TELEBRAS;00.336.701/0001-04
142;TEND3;CONSTRUTORA TENDA SA;CONSTRUTORA TENDA SA;71.476.527/0001-35
143;TGMA3;TEGMA GESTAO LOGISTICA SA;TEGMA GESTAO LOGISTICA SA;02.351.144/0001-18
144;TIET4;AES TIETE ENERGIA SA;AES TIETE ENERGIA SA;04.128.563/0001-10
145;TXRX3;TEXTIL RENAUXVIEW SA;TEXTIL RENAUXVIEW SA;82.982.075/0001-80
146;VIVT3;TELEFONICA BRASIL SA;TELEFONICA BRASIL SA;02.558.157/0001-62
147;YDUQ3;ESTACIO PARTICIPACOES SA;ESTACIO PARTICIPACOES SA;08.807.432/0001-10
148;ABCB4;BANCO ABC BRASIL SA;BANCO ABC BRASIL SA;28.195.667/0001-06
149;ADHM3;ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA SA;ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA SA;10.345.009/0001-98
150;AGBK4;BANCO AGIBANK SA;BANCO AGIBANK SA;10.664.513/0001-50
151;AGRO3;BRASILAGROCIA BRAS DE PROP AGRICOLAS;BRASILAGRO CIA BRAS DE PROP AGRICOLAS;07.628.528/0001-59
152;AHEB3;SAO PAULO TURISMO SA;SAO PAULO TURISMO S A;62.002.886/0001-60
153;AHEB5;SAO PAULO TURISMO SA;SAO PAULO TURISMO S A;62.002.886/0001-60
154;AHEB6;SAO PAULO TURISMO SA;SAO PAULO TURISMO S A;62.002.886/0001-60
155;ALPA4;ALPARGATAS SA;ALPARGATAS SA;61.079.117/0001-05
156;ALUP3;ALUPAR INVESTIMENTO SA;ALUPAR INVESTIMENTO SA;08.364.948/0001-38
157;AMAR3;MARISA LOJAS SA;MARISA LOJAS SA;61.189.288/0001-89
158;APER3;ALPER CONSULTORIA E CORRETORA DE SEGUROS SA;ALPER CONSULTORIA E CORRETORA DE SEGUROS SA;11.721.921/0001-60
159;APTI4;SIDERURGICA J L ALIPERTI SA;SIDERURGICA J L ALIPERTI SA;61.156.931/0001-78
160;ATMP3;ATMA PARTICIPACOES SA;ATMA PARTICIPACOES SA;04.032.433/0001-80
161;AZEV3;AZEVEDO E TRAVASSOS SA;AZEVEDO & TRAVASSOS SA;61.351.532/0001-68
162;AZEV4;AZEVEDO E TRAVASSOS SA;AZEVEDO & TRAVASSOS SA;61.351.532/0001-68
163;B3SA3;B3 SABRASIL, BOLSA, BALCAO;B3 SA BRASIL, BOLSA, BALCAO;09.346.601/0001-25
164;BALM3;BAUMER SA;BAUMER SA;61.374.161/0001-30
165;BAUH3;EXCELSIOR ALIMENTOS SA;EXCELSIOR ALIMENTOS SA;95.426.862/0001-97
166;BAUH4;EXCELSIOR ALIMENTOS SA;EXCELSIOR ALIMENTOS SA;95.426.862/0001-97
167;BAZA3;BANCO AMAZONIA SA;BANCO DA AMAZONIA SA;04.902.979/0001-44
168;BBDC3;BANCO BRADESCO SA;BANCO BRADESCO SA;60.746.948/0001-12
169;BBDC4;BANCO BRADESCO SA;BANCO BRADESCO SA;60.746.948/0001-12
170;BBRK3;BRASIL BROKERS PARTICIPACOES SA;BRASIL BROKERS PARTICIPACOES SA;08.613.550/0001-98
171;BCPS3;CLARO SA;CLARO TELECOM PARTICIPACOES SA;07.043.628/0001-13
172;BCPS4;CLARO SA;CLARO TELECOM PARTICIPACOES SA;07.043.628/0001-13
173;BDLL3;BARDELLA SA INDUSTRIAS MECANICAS;BARDELLA SA INDS MECANICAS;60.851.615/0001-53
174;BDLL4;BARDELLA SA INDUSTRIAS MECANICAS;BARDELLA SA INDS MECANICAS;60.851.615/0001-53
175;BEEF3;MINERVA SA;INDS MINERVA SA;10.775.468/0001-01
176;BEES3;BANESTES SABANCO EST ESPIRITO SANTO;BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO;28.127.603/0001-78
177;BEES4;BANESTES SABANCO EST ESPIRITO SANTO;BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO;28.127.603/0001-78
178;BEGB4;BANCO BERJ SA;BANCO BRADESCO BERJ SA;33.147.315/0001-15
179;BGIP3;BANCO ESTADO DE SERGIPE SABANESE;BANCO DO ESTADO DE SERGIPE SA;13.009.717/0001-46
180;BGIP4;BANCO ESTADO DE SERGIPE SABANESE;BANCO DO ESTADO DE SERGIPE SA;13.009.717/0001-46
181;BIDI4;BANCO INTER SA;BANCO INTER SA;00.416.968/0001-01
182;BKBR3;BK BRASIL OPERACAO E ASSESSORIA A RESTAURANTES SA;BK BRASIL OPERACAO E ASSESSORIA A RESTAURANTES SA;13.574.594/0001-96
183;BMGB4;BANCO BMG SA;BANCO BMG SA;61.186.680/0001-74
184;BMIN3;BANCO MERCANTIL DE INVESTIMENTOS SA;BANCO MERCANTIL DE INVESTIMENTOS SA;34.169.557/0001-72
185;BMIN4;BANCO MERCANTIL DE INVESTIMENTOS SA;BANCO MERCANTIL DE INVESTIMENTOS SA;34.169.557/0001-72
186;BOBR4;BOMBRIL SA;BOMBRIL HOLDING SA;00.257.846/0001-01
187;BPAC3;BANCO BTG PACTUAL SA;BANCO BTG PACTUAL SA;30.306.294/0001-45
188;BPAC5;BANCO BTG PACTUAL SA;BANCO BTG PACTUAL SA;30.306.294/0001-45
189;BPAN4;BANCO PAN SA;BANCO PAN SA;59.285.411/0001-13
190;BPAR3;BANCO ESTADO DO PARA SA;BANCO DO ESTADO DO PARA SA;04.913.711/0001-08
191;BRAP4;BRADESPAR SA;BRADESPAR SA;03.847.461/0001-92
192;BRDT3;PETROBRAS DISTRIBUIDORA SA;PETROBRAS DISTRIBUIDORA SA;34.274.233/0001-02
193;BRGE3;CONSORCIO ALFA DE ADMINISTRACAO SA;CONSORCIO ALFA DE ADMINISTRACAO SA;17.193.806/0001-46
194;BRGE5;CONSORCIO ALFA DE ADMINISTRACAO SA;CONSORCIO ALFA DE ADMINISTRACAO SA;17.193.806/0001-46
195;BRGE6;CONSORCIO ALFA DE ADMINISTRACAO SA;CONSORCIO ALFA DE ADMINISTRACAO SA;17.193.806/0001-46
196;BRGE7;CONSORCIO ALFA DE ADMINISTRACAO SA;CONSORCIO ALFA DE ADMINISTRACAO SA;17.193.806/0001-46
197;BRGE8;CONSORCIO ALFA DE ADMINISTRACAO SA;CONSORCIO ALFA DE ADMINISTRACAO SA;17.193.806/0001-46
198;BRIV3;BANCO ALFA DE INVESTIMENTO SA;BANCO ALFA DE INVESTIMENTO SA;60.770.336/0001-65
199;BRIV4;BANCO ALFA DE INVESTIMENTO SA;BANCO ALFA DE INVESTIMENTO SA;60.770.336/0001-65
200;BRKM5;BRASKEM SA;BRASKEM SA;42.150.391/0001-70
201;BRML3;BR MALLS PARTICIPACOES SA;BR MALLS PARTICIPACOES SA;06.977.745/0001-91
202;BRSR3;BANCO ESTADO DO RIO GRANDE DO SUL SA;BANCO DO ESTADO DO RIO GRANDE DO SUL SA;92.702.067/0001-96
203;BRSR5;BANCO ESTADO DO RIO GRANDE DO SUL SA;BANCO DO ESTADO DO RIO GRANDE DO SUL SA;92.702.067/0001-96
204;BRSR6;BANCO ESTADO DO RIO GRANDE DO SUL SA;BANCO DO ESTADO DO RIO GRANDE DO SUL SA;92.702.067/0001-96
205;BSLI3;BRB BANCO DE BRASILIA SA;BRBBANCO DE BRASILIA SA;00.000.208/0001-00
206;BSLI4;BRB BANCO DE BRASILIA SA;BRBBANCO DE BRASILIA SA;00.000.208/0001-00
207;BTOW3;B2WCOMPANHIA DIGITAL;B2W COMPANHIA DIGITAL;00.776.574/0001-56
208;BTTL3;BATTISTELLA ADM PARTICIPACOES SA;BATTISTELLA ADM E PARTICIPACOES S A;42.331.462/0001-31
209;CALI3;CONSTRUTORA ADOLPHO LINDENBERG SA;CONST ADOLPHO LINDENBERG SA;61.022.042/0001-18
210;CALI4;CONSTRUTORA ADOLPHO LINDENBERG SA;CONST ADOLPHO LINDENBERG SA;61.022.042/0001-18
211;CAML3;CAMIL ALIMENTOS SA;CAMIL ALIMENTOS SA;64.904.295/0001-03
212;CASN3;CIA CATARINENSE DE AGUAS E SANEAM-CASAN;CIA CAT DE AGUAS E SANEAMENTO CASAN;82.508.433/0001-17
213;CASN4;CIA CATARINENSE DE AGUAS E SANEAM-CASAN;CIA CAT DE AGUAS E SANEAMENTO CASAN;82.508.433/0001-17
214;CATA3;CIA INDUSTRIAL CATAGUASES;COMPANHIA INDUSTRIAL CATAGUASES;19.526.748/0001-50
215;CATA4;CIA INDUSTRIAL CATAGUASES;COMPANHIA INDUSTRIAL CATAGUASES;19.526.748/0001-50
216;CCPR3;CYRELA COMMERCIAL PROPERT SA EMPR PART;CYRELA COMMERCIAL PROPERTIES SA EMP PART;08.801.621/0001-86
217;CEAB3;CEA MODAS SA;C&A MODAS SA;45.242.914/0001-05
218;CEBR3;CIA ENERGETICA DE BRASILIA;COMPANHIA ENERGETICA DE BRASILIA CEB;00.070.698/0001-11
219;CEBR5;CIA ENERGETICA DE BRASILIA;COMPANHIA ENERGETICA DE BRASILIA CEB;00.070.698/0001-11
220;CEBR6;CIA ENERGETICA DE BRASILIA;COMPANHIA ENERGETICA DE BRASILIA CEB;00.070.698/0001-11
221;CEDO3;CIA FIACAO TECIDOS CEDRO CACHOEIRA;COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA;17.245.234/0001-00
222;CEDO4;CIA FIACAO TECIDOS CEDRO CACHOEIRA;COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA;17.245.234/0001-00
223;CEEB3;CIA ELETRICIDADE EST DA BAHIACOELBA;CIA ELETRICIDADE DA BAHIA;15.139.629/0001-94
224;CEEB5;CIA ELETRICIDADE EST DA BAHIACOELBA;CIA ELETRICIDADE DA BAHIA;15.139.629/0001-94
225;CEEB6;CIA ELETRICIDADE EST DA BAHIACOELBA;CIA ELETRICIDADE DA BAHIA;15.139.629/0001-94
226;CEED3;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;CIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA;08.467.115/0001-00
227;CEED4;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;CIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA;08.467.115/0001-00
228;CEGR3;CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG;CIA DISTRIB DE GAS DO RIO DE JANEIRO;33.938.119/0001-69
229;CEPE3;CIA ENERGETICA DE PERNAMBUCOCELPE;CIA ENERGETICA DE PERNAMBUCO CELPE;10.835.932/0001-08
230;CEPE5;CIA ENERGETICA DE PERNAMBUCOCELPE;CIA ENERGETICA DE PERNAMBUCO CELPE;10.835.932/0001-08
231;CEPE6;CIA ENERGETICA DE PERNAMBUCOCELPE;CIA ENERGETICA DE PERNAMBUCO CELPE;10.835.932/0001-08
232;CESP3;CESPCIA ENERGETICA DE SAO PAULO;CESP COMPANHIA ENERGETICA DE SAO PAULO;60.933.603/0001-78
233;CESP5;CESPCIA ENERGETICA DE SAO PAULO;CESP COMPANHIA ENERGETICA DE SAO PAULO;60.933.603/0001-78
234;CESP6;CESPCIA ENERGETICA DE SAO PAULO;CESP COMPANHIA ENERGETICA DE SAO PAULO;60.933.603/0001-78
235;CGAS3;CIA GAS DE SAO PAULOCOMGAS;COMPANHIA DE GAS DE SAO PAULO COMGAS;61.856.571/0001-17
236;CGAS5;CIA GAS DE SAO PAULOCOMGAS;COMPANHIA DE GAS DE SAO PAULO COMGAS;61.856.571/0001-17
237;CGOS3;CELG DISTRIBUICAO SACELG D;CELG DISTRIBUICAO SA;01.543.032/0001-04
238;CGRA4;GRAZZIOTIN SA;GRAZZIOTIN SA;92.012.467/0001-70
239;CLSC3;CENTRAIS ELET DE SANTA CATARINA SA;CENTRAIS ELETRICAS DE SANTA CATARINA SA;83.878.892/0001-55
240;CLSC4;CENTRAIS ELET DE SANTA CATARINA SA;CENTRAIS ELETRICAS DE SANTA CATARINA SA;83.878.892/0001-55
241;CMIG3;CIA ENERGETICA DE MINAS GERAISCEMIG;CIA ENERG MINAS GERAIS CEMIG;17.155.730/0001-64
242;CMIG4;CIA ENERGETICA DE MINAS GERAISCEMIG;CIA ENERG MINAS GERAIS CEMIG;17.155.730/0001-64
243;CMSA4;CIMS SA;CIMS SA;00.272.185/0001-93
244;CNRT5;CICANORTE IND CONSERVAS ALIMENTICIAS SA;CICANORTE IND DE CONS ALIM SA;10.790.616/0001-67
245;CNTO3;GRUPO SBF SA;GRUPO SBF SA;13.217.485/0001-11
246;COCE3;CIA ENERGETICA DO CEARACOELCE;CIA ENERG CEARA COELCE;07.047.251/0001-70
247;COCE5;CIA ENERGETICA DO CEARACOELCE;CIA ENERG CEARA COELCE;07.047.251/0001-70
248;COCE6;CIA ENERGETICA DO CEARACOELCE;CIA ENERG CEARA COELCE;07.047.251/0001-70
249;CORR3;CORREA RIBEIRO SA COMERCIO E INDUSTRIA;GPC INDUSTRIA E COMERCIO SA;42.360.925/0001-93
250;CORR4;CORREA RIBEIRO SA COMERCIO E INDUSTRIA;GPC INDUSTRIA E COMERCIO SA;42.360.925/0001-93
251;CPLE3;CIA PARANAENSE DE ENERGIACOPEL;COMPANHIA PARANAENSE DE ENERGIA;76.483.817/0001-20
252;CPLE5;CIA PARANAENSE DE ENERGIACOPEL;COMPANHIA PARANAENSE DE ENERGIA;76.483.817/0001-20
253;CPLE6;CIA PARANAENSE DE ENERGIACOPEL;COMPANHIA PARANAENSE DE ENERGIA;76.483.817/0001-20
254;CRDE3;CR2 EMPREENDIMENTOS IMOBILIARIOS SA;CR2 EMPREENDIMENTOS IMOBILIARIOS SA;07.820.907/0001-46
255;CRIV3;FINANCEIRA ALFA SA- CRED FINANC E INVS;FINANCEIRA ALFA SA CFI;17.167.412/0001-13
256;CRIV4;FINANCEIRA ALFA SA- CRED FINANC E INVS;FINANCEIRA ALFA SA CFI;17.167.412/0001-13
257;CRML4;CARBOMIL SA;CARBOMIL SA MINER E INDUSTRIA;07.253.321/0001-47
258;CRPG5;TRONOX PIGMENTOS DO BRASIL SA;TRONOX PIGMENTOS DO BRASIL SA;15.115.504/0001-24
259;CSAB3;CIA SEGUROS ALIANCA DA BAHIA;CIA SEGUROS ALIANCA BAHIA;15.144.017/0001-90
260;CSAB4;CIA SEGUROS ALIANCA DA BAHIA;CIA SEGUROS ALIANCA BAHIA;15.144.017/0001-90
261;CSMG3;CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;COMPANHIA DE SANEAMENTO DE MINAS GERAIS;17.281.106/0001-03
262;CSNA3;CIA SIDERURGICA NACIONAL;CIA SIDERURGICA NACIONAL;33.042.730/0001-04
263;CSRN3;CIA ENERGETICA DO RIO GDE NORTECOSERN;CIA ENERGETICA DO RIO GRANDE DO NORTE;08.324.196/0001-81
264;CSRN5;CIA ENERGETICA DO RIO GDE NORTECOSERN;CIA ENERGETICA DO RIO GRANDE DO NORTE;08.324.196/0001-81
265;CSRN6;CIA ENERGETICA DO RIO GDE NORTECOSERN;CIA ENERGETICA DO RIO GRANDE DO NORTE;08.324.196/0001-81
266;CTCA3;CTCCENTRO DE TECNOLOGIA CANAVIEIRA SA;CTC CENTRO DE TECNOLOGIA CANAVIEIRA SA;06.981.381/0001-13
267;CTKA4;KARSTEN SA;KARSTEN SA;82.640.558/0001-04
268;CTNM4;CIA TECIDOS NORTE DE MINAS COTEMINAS;CIA TECIDOS NORTE DE MINAS COTEMINAS;22.677.520/0001-76
269;CTSA4;CIA TECIDOS SANTANENSE;CIA TECIDOS SANTANENSE;21.255.567/0001-89
270;CVCB3;CVC BRASIL OPERADORA E AGENCIA DE VIAGENS SA;CVC BRASIL OPERADORA E AGENCIA DE VIAGENS SA;10.760.260/0001-19
271;CYRE3;CYRELA BRAZIL REALTY SAEMPREEND E PART;CYRELA BRAZIL REALTY SA EMPRS E PARTS;73.178.600/0001-18
272;DMMO3;DOMMO ENERGIA SA;DOMMO ENERGIA SA;08.926.302/0001-05
273;DOHL4;DOHLER SA;DOHLER SA;84.683.408/0001-03
274;DTCY3;DTCOMDIRECT TO COMPANY SA;DTCOM DIRECT TO COMPANY SA;03.303.999/0001-36
275;DTCY4;DTCOMDIRECT TO COMPANY SA;DTCOM DIRECT TO COMPANY SA;03.303.999/0001-36
276;DTEX3;DURATEX SA;DURATEX MADEIRA AGLOMERADA SA;87.266.359/0001-93
277;EALT3;ELECTRO ACO ALTONA SA;ELECTRO ACO ALTONA SA;82.643.537/0001-34
278;ECPR3;EMPRESA NAC COM REDITO PART SAENCORPAR;EMPNAC DE COMERCIO, REDITO E PART SA ENCORPAR;01.971.614/0001-83
279;ECPR4;EMPRESA NAC COM REDITO PART SAENCORPAR;EMPNAC DE COMERCIO, REDITO E PART SA ENCORPAR;01.971.614/0001-83
280;EGCE3;ENERGISA GERACAO CENTRAIS EOLICAS RN SA;ENERGISA SA;00.864.214/0001-06
281;EKTR3;ELEKTRO REDES SA;ELEKTRO REDES SA;02.328.280/0001-97
282;ELBR4;ELEBRA SA ELETRONICA BRASILEIRA;ELEBRA SA ELETR BRASILEIRA;53.843.777/0001-84
283;ELEK3;ELEKEIROZ SA;ELEKEIROZ SA;13.788.120/0001-47
284;ELEK4;ELEKEIROZ SA;ELEKEIROZ SA;13.788.120/0001-47
