;0;1;2;3
341;LMED3;LIFEMED INDUSTRIAL EQUIP DE ART MED HOSP SA;LIFEMED INDUSTRIAL DE EQUIP E ART MEDICOS E HOSP SA;02.357.251/0001-53
342;LOGG3;LOG COMMERCIAL PROPERTIES;LOG COMMERCIAL PROPERTIES E PARTICIPACOES SA;09.041.168/0001-10
343;LOGN3;LOG-IN LOGISTICA INTERMODAL SA;LOGIN LOGISTICA INTERMODAL SA;42.278.291/0001-24
344;LPSB3;LPS BRASILCONSULTORIA DE IMOVEIS SA;LPS BRASIL CONSULTORIA DE IMOVEIS SA;08.078.847/0001-09
345;LUPA3;LUPATECH SA;LUPATECH SA EM RECUPERACAO JUDICIAL;89.463.822/0001-12
346;LUXM4;TREVISA INVESTIMENTOS SA;TREVISA INVESTIMENTOS SA;92.660.570/0001-26
347;MAPT3;CEMEPE INVESTIMENTOS SA;CEMEPE INVESTIMENTOS SA;93.828.986/0001-73
348;MDIA3;MDIAS BRANCO SA IND COM DE ALIMENTOS;M DIAS BRANCO SA IND E COM DE ALIMENTOS;07.206.816/0001-15
349;MDIN3;MUNDIAL INC;MUNDIAL ARTEFATOS DE COURO SA;33.042.961/0001-18
350;MERC3;MERCANTIL BRASIL FINANC SA CFI;BANCO MERCANTIL BRASIL SA;17.184.037/0001-10
351;MERC4;MERCANTIL BRASIL FINANC SA CFI;BANCO MERCANTIL BRASIL SA;17.184.037/0001-10
352;MGEL3;MANGELS INDUSTRIAL SA;MANGELS INDUSTRIAL SA;61.065.298/0001-02
353;MGEL4;MANGELS INDUSTRIAL SA;MANGELS INDUSTRIAL SA;61.065.298/0001-02
354;MILS3;MILLS ESTRUTURAS E SERVICOS DE ENGENHARIA SA;MILLS ESTRUTURAS E SERVICOS DE ENGENHARIA SA;27.093.558/0001-15
355;MMAQ4;MINASMAQUINAS SA;MINASMAQUINAS SA;17.161.241/0001-15
356;MMXM3;MMX MINERACAO E METALICOS SA;MMX MINERACAO E METALICOS SA EM RECUPERACAO JUDICIAL;02.762.115/0001-49
357;MNDL3;MUNDIAL SAPRODUTOS DE CONSUMO;MUNDIAL SA PRODUTOS DE CONSUMO;88.610.191/0001-54
358;MOAR3;MONTEIRO ARANHA SA;MONTEIRO ARANHA SA;33.102.476/0001-92
359;MRFG3;MARFRIG GLOBAL FOODS SA;MARFRIG GLOBAL FOODS SA;03.853.896/0001-40
360;MSPA3;CIA MELHORAMENTOS DE SAO PAULO;COMPANHIA MELHORAMENTOS DE SAO PAULO;60.730.348/0001-66
361;MSPA4;CIA MELHORAMENTOS DE SAO PAULO;COMPANHIA MELHORAMENTOS DE SAO PAULO;60.730.348/0001-66
362;MTIG3;METALGRAFICA IGUACU SA;IND METALURGICA IGUACU SA;30.819.585/0001-37
363;MTIG4;METALGRAFICA IGUACU SA;IND METALURGICA IGUACU SA;30.819.585/0001-37
